673,104,40,,,,,,,,,,,,,
0,95,0,47,7,80,82,81,80,81,25,47,0,0,101,102
47,0,47,7,8,224,225,226,227,228,24,25,47,0,47,0
0,0,95,3,48,229,230,231,232,233,49,17,95,0,234,235
47,95,47,2,48,48,49,48,49,48,49,17,234,235,236,237
0,101,102,2,48,48,48,49,49,48,48,17,236,237,0,0
0,47,95,3,48,49,49,49,49,49,49,17,0,234,235,47
0,0,47,2,48,49,48,48,49,49,48,17,0,236,237,0
0,101,102,2,48,49,49,49,49,49,48,17,95,0,234,235
0,238,0,3,48,49,49,48,49,48,49,17,234,235,236,237
0,158,159,2,48,48,49,48,49,48,48,17,236,237,0,0
47,174,175,2,48,49,49,49,48,49,48,17,0,234,235,47
0,0,95,3,48,49,48,49,48,48,49,17,0,236,237,0
0,0,0,2,48,48,48,49,48,49,49,17,0,95,238,0
0,238,47,241,48,48,48,49,48,49,49,249,95,158,159,0
0,0,0,242,243,244,245,246,247,244,243,248,0,174,175,0
0,95,0,242,48,49,49,48,48,49,48,248,47,0,238,0
0,234,235,242,61,62,62,62,62,62,61,248,0,0,0,0
0,236,237,2,48,49,49,49,48,49,48,17,95,0,234,235
0,0,95,3,48,49,48,49,48,48,48,17,234,235,236,237
0,0,47,2,48,49,49,49,49,49,48,17,236,237,0,0
0,101,102,2,48,49,49,96,97,49,48,17,0,234,235,47
0,238,0,3,48,49,48,100,100,48,48,17,0,236,237,0
0,158,159,2,48,49,48,98,99,49,48,17,0,95,238,0
47,174,175,2,48,49,49,48,48,48,48,17,0,0,47,47
0,0,95,3,48,49,48,49,48,48,48,17,234,235,0,47
0,0,0,2,48,48,48,48,48,48,48,19,236,237,0,0
0,234,235,1,48,48,48,48,48,48,48,18,0,47,47,0
0,236,237,3,48,48,48,48,48,48,48,17,0,47,0,0
0,0,0,1,48,48,48,48,96,97,48,19,47,234,235,0
0,0,47,3,48,48,48,48,100,96,97,17,0,236,237,0
0,0,0,1,48,48,48,48,98,100,100,19,47,0,0,0
0,0,0,3,48,48,48,48,48,98,99,19,0,47,0,0
0,234,235,2,48,48,48,48,48,48,48,18,0,47,47,0
0,236,237,2,48,48,48,48,48,48,48,17,101,102,0,0
0,101,102,1,48,48,48,48,48,48,48,19,0,0,0,0
0,0,47,3,48,48,48,48,48,48,48,17,0,234,235,0
234,235,0,1,48,48,48,48,48,48,48,19,0,236,237,0
236,237,0,3,48,48,48,48,48,48,29,31,0,0,0,0
0,0,0,1,48,48,48,48,48,30,31,0,0,0,0,0
0,47,47,3,48,48,48,48,30,31,234,235,0,0,0,0
0,0,7,8,48,48,48,29,31,0,236,237,0,0,0,0
0,7,9,48,48,48,29,31,47,0,0,0,0,0,0,0
7,8,48,48,48,30,31,101,102,47,0,0,0,0,0,0
